number,id,cell_id,source,ancestor_id,pct_rank
16,59939d35cf5661,f99a1efe,"# Houses Prices: Adavanced Regression Techniques

Jonathan Lices Martín",24696,0
17,b22eed3c74b3a4,e8ad738f,"# Awesome Data Science and Machine Learning Cheatsheets and Iris Species Classification

    This kernel notebook has Iris Species Classification and the curated lists of Awesome Data Science and Machine Learning Cheatsheets to rule the world.

> #### **Credits**: Thanks to **TensorFlow Team**, **Favio André Vázquez** and other contributers for such wonderful work!

### Here are some of *my kernel notebooks* for **Machine Learning and Data Science** as follows, ***Upvote*** them if you *like* them

> * [Data Science with R - Awesome Tutorials](https://www.kaggle.com/arunkumarramanan/data-science-with-r-awesome-tutorials)
> * [Awesome ML Frameworks and MNIST Classification](https://www.kaggle.com/arunkumarramanan/awesome-machine-learning-ml-frameworks)
> * [Awesome Data Science for Beginners with Titanic Exploration](https://kaggle.com/arunkumarramanan/awesome-data-science-for-beginners)
> * [Tensorflow Tutorial and House Price Prediction](https://www.kaggle.com/arunkumarramanan/tensorflow-tutorial-and-examples)
> * [Practical Machine Learning with PyTorch](https://www.kaggle.com/arunkumarramanan/practical-machine-learning-with-pytorch)
> * [Awesome Deep Learning Basics and Resources](https://www.kaggle.com/arunkumarramanan/awesome-deep-learning-resources)
> * [Awesome Computer Vision Resources (TBU)](https://www.kaggle.com/arunkumarramanan/awesome-computer-vision-resources-to-be-updated)
> * [Data Scientist's Toolkits - Awesome Data Science Resources](https://www.kaggle.com/arunkumarramanan/data-scientist-s-toolkits-awesome-ds-resources)
> * [Data Science with Python - Awesome Tutorials](https://www.kaggle.com/arunkumarramanan/data-science-with-python-awesome-tutorials)
> * [Machine Learning and Deep Learning - Awesome Tutorials](https://www.kaggle.com/arunkumarramanan/awesome-deep-learning-ml-tutorials)
> * [Machine Learning Engineer's Toolkit with Roadmap](https://www.kaggle.com/arunkumarramanan/machine-learning-engineer-s-toolkit-with-roadmap) 
> * [Awesome TensorFlow and PyTorch Resources](https://www.kaggle.com/arunkumarramanan/awesome-tensorflow-and-pytorch-resources)
> * [Hands-on ML with scikit-learn and TensorFlow](https://www.kaggle.com/arunkumarramanan/hands-on-ml-with-scikit-learn-and-tensorflow)
> * [Awesome Data Science IPython Notebooks](https://www.kaggle.com/arunkumarramanan/awesome-data-science-ipython-notebooks)
> * [Data Science and Machine Learning Cheetcheets](https://www.kaggle.com/arunkumarramanan/data-science-and-machine-learning-cheatsheets)
",0851bcaf,0
18,b22f4dca7887ad,d736e41a,"
## <span style='background :pink' > Heart attack prediction and analysis</span>
",e640171b,0
19,b2317b1d1dd3bb,3735296d,"# Introdução

Esse caderno faz parte de um conjunto de análises sobre o <a href=""http://portal.inep.gov.br/enade"">ENADE</a>, que é uma prova padronizada aplicada a formandos de ensino superior a fim de avaliar quão bem eles aprenderam o conteúdo do curso.

## Links:

Para acessar os outros conteúdos que tenho trabalhado:

- <a href='https://www.kaggle.com/joaoavf/enade-01-juntando-arquivos'>1 - Juntando arquivos</a> [CADERNO ATUAL]
- <a href='https://www.kaggle.com/joaoavf/enade-02-tratando-outliers'>2 - Tratando outliers</a>
- <a href='https://www.kaggle.com/joaoavf/enade-03-explorando-dados'>3 - Explorando Dados</a> 
- <u>Próximos cadernos ainda em progresso</u>

## Outros recursos

Caso tenha interesse em aprender as ferramentas que estão sendo utilizadas aqui, segue um guia para iniciantes: 

<a href='https://www.kaggle.com/joaoavf/introducao-a-analise-de-dados-python-e-pandas'>Introdução a Análise de Dados usando Python e pandas</a>

# Por que combinar o ENADE 2016, 2017 e 2018?
Uma vez que o ENADE para um mesmo curso normalmente é feito de 3 em 3 anos, combinando 2016, 2017 e 2018 teremos dados sobre todos os cursos.


*O ENADE 2016 não foi realizado com todos os alunos (cerca de 50% da população dos anos de 2017 e 2018). Uma vez que o ENADE 2019 for disponibilizado, vale a pena trocar o ano de 2016 pelo ano de 2019.*",2a40857a,0
20,599184e9adddf2,aaf0ddfb,"<h1 style=""background-color:black
;font-family:newtimeroman;font-size:275%;text-align:center;border-radius: 100px 100px; color:#03e8fc"">  Walmart Store Sales Forecasting </h1><a id=0></a>",40726795,0
21,5991c58e97b5cd,095cca07,## Separation of data,4b63359e,0
22,b23155d63c3b78,68feae8f,# Stacking을 이용한 Second-Level Learning Model,d9382fab,0
23,5991d147e16f03,74b1dd16,# **COVID-19-Novel-CoronaVirus**,4954502c,0
24,b2310b9d101185,ebf7cff5,# Find speech segments,020ebdd9,0
27,b2304bc6a4c1b4,92e4a372,"# Итоговый проект по курсу 
# ""Библиотеки Python для Data Science: продолжение"" <a class='anchor' id='begin'>

Тема: ""Построение модели прогнозирования невыполнения долговых обязательств по кредиту""<br>
Студент: Александр Тарасов ([kaggle](https://www.kaggle.com/sashatarassov), [telegram](https://t.me/Escander81))<br>
Преподаватель: Светлана Медведева<br>",4cac01b6,0
30,5992e21d1b2714,75d2d419,"<div>
    <img src=""https://storage.googleapis.com/kaggle-datasets-images/88836/204662/70c8793a1e85f544086a1d4b19951b51/dataset-cover.jpg""/>
</div>",ae98cc3b,0
33,59934826aa372d,f1d096c8,"<a class=""anchor"" id=""0""></a>
# [AI-ML-DS : Training for beginners](https://www.kaggle.com/vbmokin/ai-ml-ds-training-for-beginners-in-kaggle). Level 2 (simple). 2021
## Kaggle Contributor [@artur1999](https://www.kaggle.com/artur1999)
",03c31575,0
34,b22c32c14d7c45,b563ed67,"INTRODUCTION

Hey! this is my first public kernel so I am trying to upload data and see how it can be processed!",853a3971,0
36,0464d0393953dd,c6cda417,"# Introduction

An international e-commerce company based wants to discover key insights from their customer database. They want to use some of the most advanced machine learning techniques to study their customers. The company sells electronic products.

<font color=""blue"">
Content:

1. [Load and Check Data](#1)
1. [Dataset Description](#2)
    * [Variable Description](#3)
    * [Univeraite Variable Analysis](#4)
        * [Categorical Variable Analysis](#5)
        * [Numerical Variable Analysis](#6)
   
1. [Basic Data Analysis](#7)
1. [Outlier Detection](#8)
    * [Z_Score](#9)
    * [Dropping Outliers](#10)
    * [Winsorization](#11)
1. [Feature Engineering](#12)
1. [Prediction](#13)
1. [Hyperparamater tuning - GridSearchCV](#14)
1. [Conclusion](#15)",178ffa75,0
38,0944821370ebab,0f17bcf6,"# This Python 3 environment comes with many helpful analytics libraries installed
# It is defined by the kaggle/python Docker image: https://github.com/kaggle/docker-python
# For example, here's several helpful packages to load

import numpy as np # linear algebra
import pandas as pd # data processing, CSV file I/O (e.g. pd.read_csv)

# Input data files are available in the read-only ""../input/"" directory
# For example, running this (by clicking run or pressing Shift+Enter) will list all files under the input directory

import os
for dirname, _, filenames in os.walk('/kaggle/input'):
    for filename in filenames:
        print(os.path.join(dirname, filename))

# You can write up to 20GB to the current directory (/kaggle/working/) that gets preserved as output when you create a version using ""Save & Run All"" 
# You can also write temporary files to /kaggle/temp/, but they won't be saved outside of the current session",e3ec7e64,0
39,599bc73e274256,9eb6a9dd,"# Credit Card Customer Churn EDA & Prediction

![image.png](attachment:image.png)",ce857956,0
40,599ce2c3ce4b9e,209296fb,"Started on 8 July 2019

**References:**
1. https://www.kaggle.com/cdeotte/supervised-generative-dog-net
2. https://www.kaggle.com/rhodiumbeng/crop-dog-images",c975e13a,0
41,04654f713f6eb6,a1bc5692,"# Objective

* Try different features and see if our oof align with public leaderboard
* You can find my exploratory data analysis in this link: https://www.kaggle.com/ragnar123/exploratory-data-analysis-and-model-baseline",e586773b,0
43,599e46cc3d34a9,1d409318,# BUILDING MY DREAM 11 🏏⚾,b1d64564,0
44,599b157b980c4b,a982db54,# CryptoCurrency : DogeCoin Prediction in USD (Beginners Level),9.54E+81,0
45,599efad73fc640,6b6adc9a,# Data Pre-Processing,177e7868,0
46,b225789eccb732,841a2e3b,"![images.png](attachment:images.png)

# COVID-19: current situation

- EDA including **the recent updates, recovering country analysis & sigmoid fitting convergence date estimation**.
- `plotly` visualization is heavy used",eb619701,0
47,599f3c971ee570,f150c3c0,![](https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTiY8X0vLwRCijoI9nw_K6sTLC190PnSuA4XA&usqp=CAU),d783b6c6,0
48,599fa957d885e2,f0c1c19e,"# **COVID-19: Face Mask Detector**

Face Mask Detection system built with OpenCV, TensorFlow using Deep Learning and Computer Vision to detect face masks in real-time video streams.

This notebook is created by [Ritik Bompilwar](http://ritikbompilwar.in/) as part of cAInvas Scholar Program by [AITS](https://cainvas.ai-tech.systems/dashboard/)

Dataset Used [Face Mask Detection Data](https://www.kaggle.com/aneerbanchakraborty/face-mask-detection-data) from Kaggle.

Refrence : [COVID-19: Face Mask Detector with OpenCV, Keras/TensorFlow, and Deep Learning](https://www.pyimagesearch.com/2020/05/04/covid-19-face-mask-detector-with-opencv-keras-tensorflow-and-deep-learning/)


",806db8fb,0
50,b224eab66fe797,0228f61b,"# Approach
",d10d4426,0
51,0944639d4153c4,78283905,"# Detecting steels with texture, a little more for sure

This notebook is [fast.ai](https://www.fast.ai) version of [Detector steels with texture by @ateplyuk](https://www.kaggle.com/ateplyuk/detector-steels-with-texture).
First of all, thanks to @ateplyuk!

By using [fast.ai](https://www.fast.ai) library, we might be doing better finding textures:
![texture](https://github.com/ushur/Severstal-Steel-Defect-Detection/blob/master/Texture.jpg?raw=true)",99587d6f,0
53,b226e306bc58be,b9c98b9b,"# Ensemble of Trees with HyperOpt tuning

I built this to try develop and try out some utility functions for hyperparameter tuning of some sklearn classifiers. Uses LGBM, Catboost, XGBoost, and Random Forest classifiers to build an ensemble, and stacks those with Logistic Regression. All five have their hyper-parameters tuned with Hyperopt. Besides stacking, also averaging and majority vote ensembles are applied.

Also features some helper functions to see what are the biggest misclassifications the model makes. All functions also found on my [Github](https://github.com/mukatee/ml-experiments/tree/master/utils).",4f48f1b2,0
54,b2278ffe00210a,0fc1abba,"**Assignment 6 - Kernels in Kaggle<br>
Shailesh Sridhar - 01FB16ECS349<br>
Shashank Prabhakar - 01FB16ECS356<br>
Shrey Tiwari - 01FB16ECS368**<br>",fad584fc,0
55,599ad810e50d4a,ca3bd3cb,"# Data Preprocessing
* Data preprocessing is transforming raw data into an understandable format. Real-world data is often incomplete, inconsistent, and/or lacking in certain behaviors or trends, and is likely to contain many errors. Data preprocessing is a proven method of resolving such issues.
* __Data cleansing or data cleaning__ is the process of detecting and correcting (or removing) corrupt or inaccurate records from a record set, table, or database and refers to identifying incomplete, incorrect, inaccurate or irrelevant parts of the data and then replacing, modifying, or deleting the dirty or coarse data.",84573d8c,0
56,b22b9edd20fd62,156fc651,"# **FastOracleGAN** - Multiple Input Version
--------------
This study explores how to make **lighter, faster [OracleGAN](https://www.kaggle.com/lapl04/oraclegan-pix2pix-for-time-series-image)**.

MobileNet v2 is adopted to Discriminator.
Also, part of Generator's convolution layers are replaced with Depthwise Separable Convolution.
Convolution is added to Generator's skips.",d180049a,0
59,5999ea70c7fcfd,ada1673e,"<div>
    <img src=""https://storage.googleapis.com/kaggle-datasets-images/408863/783233/1bb8f2dc05690a85fc206715e96539e7/dataset-cover.jpg""/>
</div>",881d9491,0
61,b22ad5f8c1d7d8,3f70d669,"The features for this notebook have been taken from here: https://www.kaggle.com/jmargni/tps-apr-2021-lightgbm-cv

",6272bbde,0
62,599a7ddbedb894,01b43551,"# About this notebook  
- PyTorch resnext50_32x4d starter code  
- StratifiedKFold 5 folds  

If this notebook is helpful, feel free to upvote :)",346be5ca,0
64,b22a6ffc20845e,d725a8b6,"This kernel uses [Fridex's hexsticker package](https://github.com/fridex/hexsticker) to create a hex sticker from a .png of the Kaggle logo. 

You can use this code to create your own sticker by:

1. Forking this notebook
2. Uploading a dataset with your own .png files
3. Start a new kernel on your dataset & replace the ""../input/k-logo-white-square.png"" with the path to the picture you want to lose

You'll probably want to adjust the padding size (depending on the size ratio of your photo), the border size and the border color (which is Kaggle blue here). 

Happy stickering! :)",4bc3c973,0
65,b229fcbb770c49,474ad3e7,"# Load data faster

While doing EDA we load data mulitple time or if we are using doing EDA on our machine its faster to pickle the data which can improve data load time drastically ",24779b68,0
66,599a936f251973,47c9fa7d,"<a id=""top""></a> 
### <center><font color='red'>SUICIDE HOTLINES - INTERNATIONAL</font></center><center>www.opencounseling.com/suicide-hotlines</center>

# <center>Suicides - Data Visualization and World Maps</center>

This notebook contains overview of datasets, data visualizations, correlations and maps that impacts the suicide rates in various countries.  Following datasets are utilized:

*  **Suicide Rates Overview 1985 to 2016** dataset compares socio-economic information with suicide rates by year and country and contains suicide data of 101 countries spanning 32 years. 
*  **World capitals GPS** contains countries, continents and latitude/longitude information and is combined with the above dataset to look at **suicides per continents** and to create a *Folium World* map.
*  **World Countries** is a JSON file with country geographical shape information and is used to create the *Choropleth World* map.
<br>

### Table of Content
1.  [Data Preparation](#prep)<br>
1.1  [Data Collection](#prep_coll)<br>
1.2  [Data Cleaning](#prep_clean)<br>
1.3  [Final Check](#prep_check)<br>
1.4  [Data Attributes  ](#prep_attr)<br>
1.5  [Data Overview  ](#prep_limit)<br>


2.  [Data Visualization (EDA)](#eda)<br>
2.1  [Suicide Rates per Country](#eda_country)<br>
2.2  [Suicide Rates per Continent](#eda_cont)<br>
2.3  [Suicide Trends and Population](#eda_pop)<br>
2.4  [Suicide Trends and Age Group](#eda_age)<br>
2.5  [Suicide Trends and Human Development Index (HDI)](#eda_hdi)<br>
2.6  [Suicide Trends and GDP](#eda_gdp)<br>


3.  [Correlations](#corr)<br>
3.1  [Encoding and Normalization](#corr_encode)<br>
3.2  [Overall Correlation](#corr_over)<br>
3.3  [Correlation - Male & Female](#corr_sex)<br>


4.  [World Maps](#maps)<br>
4.1  [Folium World Map](#maps_folium)<br>
4.2  [Choropleth World Map](#maps_chor)<br>
4.3  [Choropleth World Map - Animated](#maps_chorANI)<br>   

<br>

**LIMMITATION:**  Dataset is an excellent resource for data visualizations and creating maps, but contains only around half countries in the world, so by far is not complete.

**Please upvote if you found this helpful :-)**",0ae8492c,0
68,599a93a1821e6c,47d30256,"# Exploring Professional Overwatch Players' Mouse and In-Game Sensitivity Data: A Role-Based Approach

## See [pro-overwatch-player-settings dataset](https://www.kaggle.com/yakiya51/pro-overwatch-player-settings) description for context.",5a0a59df,0
69,b22962a7f167cc,5f0d812c,"<img src=""https://pbs.twimg.com/media/FBleFqjVEAEZa0t?format=jpg&name=large"" width=400%>
",0ea9a31e,0
70,b2289470a040eb,6e35cc99,# Problem Statment,5f5d9b88,0
